;id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;image;genderArticle
44;8580;Men;Apparel;Topwear;Waistcoat;Grey;Fall;2011.0;Casual;Scullers Men  Grey Waistcoat;8580.jpg;Men-Waistcoat
49;38402;Women;Accessories;Belts;Belts;Black;Summer;2012.0;Casual;Baggit Women Hood Dabang Black Belt;38402.jpg;Women-Belts
117;27846;Women;Apparel;Topwear;Blazers;Charcoal;Summer;2012.0;Formal;Scullers For Her Charcoal Blazer;27846.jpg;Women-Blazers
140;51455;Women;Apparel;Topwear;Shrug;Pink;Summer;2012.0;Casual;Tonga Women Pink Printed Shrug;51455.jpg;Women-Shrug
290;50573;Men;Apparel;Innerwear;Trunk;Charcoal;Summer;2016.0;Casual;Chromozome Men Charcoal Trunk Trunks;50573.jpg;Men-Trunk
449;6845;Unisex;Accessories;Shoe Accessories;Shoe Laces;Black;Summer;2011.0;Casual;Timberland Unisex Hiker Round Lace Shoe Accessories;6845.jpg;Unisex-Shoe Laces
499;55234;Women;Personal Care;Makeup;Foundation and Primer;Skin;Summer;2019.0;Casual;Lakme 9to5 Flawless Makeup Marble Foundation;55234.jpg;Women-Foundation and Primer
785;14893;Women;Accessories;Accessories;Travel Accessory;Blue;Summer;2011.0;Casual;United Colors of Benetton Women Solid Blue Bags;14893.jpg;Women-Travel Accessory
997;42417;Unisex;Accessories;Accessories;Messenger Bag;Purple;Summer;2012.0;Casual;American Tourister Unisex Purple Messenger Bag;42417.jpg;Unisex-Messenger Bag
1030;15370;Women;Apparel;Topwear;Sweatshirts;Pink;Fall;2011.0;Casual;Urban Yoga Women Solid Pink Sweatshirts;15370.jpg;Women-Sweatshirts
1072;48929;Women;Accessories;Jewellery;Ring;Silver;Fall;2012.0;Casual;Lucera Women Silver Ring;48929.jpg;Women-Ring
1161;55834;Women;Personal Care;Beauty Accessories;Beauty Accessory;Skin;Spring;2017.0;Casual;Colorbar Miss Reflective Body Shimmer 001;55834.jpg;Women-Beauty Accessory
1265;17878;Men;Apparel;Innerwear;Innerwear Vests;Maroon;Summer;2016.0;Casual;Levis Men Comfort Style Maroon Innerwear Vest;17878.jpg;Men-Innerwear Vests
1328;11347;Men;Apparel;Bottomwear;Jeans;Blue;Summer;2017.0;Casual;Lee Men Elvira Rinse Blue Chicago Fit Jeans;11347.jpg;Men-Jeans
1401;49890;Girls;Accessories;Watches;Watches;Blue;Winter;2016.0;Casual;Q&Q Kids Girls Blue Analog Watch;49890.jpg;Girls-Watches
1420;24656;Boys;Accessories;Socks;Socks;White;Fall;2011.0;Casual;ADIDAS Originals Boys White Pack of 3 Casual Socks;24656.jpg;Boys-Socks
1456;32165;Women;Accessories;Socks;Socks;Pink;Summer;2017.0;Casual;Playboy Women Playmate Pink Ankle Socks;32165.jpg;Women-Socks
1894;4773;Women;Apparel;Bottomwear;Capris;Blue;Summer;2011.0;Sports;ADIDAS Women 3S Blue Capri;4773.jpg;Women-Capris
2103;13475;Women;Footwear;Shoes;Flats;Brown;Winter;2014.0;Casual;Rocia Women Brown Flats;13475.jpg;Women-Flats
2283;51895;Women;Accessories;Wallets;Wallets;Brown;Summer;2016.0;Casual;Nyk Women Brown Wallet;51895.jpg;Women-Wallets
2301;41009;Girls;Apparel;Bottomwear;Jeans;Navy Blue;Summer;2012.0;Casual;Gini and Jony Girls Woven Navy Blue Jeans;41009.jpg;Girls-Jeans
2615;34062;Girls;Apparel;Dress;Dresses;Pink;Summer;2012.0;Casual;Gini and Jony Girls Printed Pink Dress;34062.jpg;Girls-Dresses
2644;31983;Men;Accessories;Bags;Laptop Bag;Black;Summer;2012.0;Casual;ADIDAS Men Black Bag;31983.jpg;Men-Laptop Bag
2659;23822;Men;Footwear;Flip Flops;Flip Flops;Red;Summer;2012.0;Casual;Puma Men Breeze Red Flip Flops;23822.jpg;Men-Flip Flops
2794;38297;Men;Accessories;Wallets;Wallets;Black;Summer;2012.0;Casual;Reid & Taylor Men Black Wallet;38297.jpg;Men-Wallets
3208;43957;Women;Footwear;Sandal;Sandals;Grey;Fall;2012.0;Casual;Puma Women Grey Techno Ind Sandals;43957.jpg;Women-Sandals
3467;52026;Unisex;Apparel;Topwear;Rain Jacket;Grey;Summer;2012.0;;Just Natural Unisex Grey Rain Jacket;52026.jpg;Unisex-Rain Jacket
3581;16951;Men;Accessories;Eyewear;Sunglasses;Black;Winter;2016.0;Casual;Image Men Classic Eyewear Black Sunglasses;16951.jpg;Men-Sunglasses
3726;27427;Women;Apparel;Loungewear and Nightwear;Lounge Shorts;Purple;Winter;2015.0;Casual;Jockey Women Purple Lounge Shorts 1308;27427.jpg;Women-Lounge Shorts
3979;52473;Women;Apparel;Loungewear and Nightwear;Bath Robe;White;Summer;2017.0;Casual;Red Rose Women Pink & White Bath Robes;52473.jpg;Women-Bath Robe
4158;42615;Women;Accessories;Jewellery;Jewellery Set;Gold;Winter;2016.0;Casual;Estelle Women Earrings & Pendant Set;42615.jpg;Women-Jewellery Set
4316;4327;Unisex;Apparel;Topwear;Tshirts;Blue;Summer;2011.0;Casual;Tantra Kid's Unisex Cute Mom Turqoise Kidswear;4327.jpg;Unisex-Tshirts
4402;33279;Unisex;Apparel;Bottomwear;Jeans;Blue;Summer;2012.0;Casual;Gini and Jony Kids Unisex Blue Jeans;33279.jpg;Unisex-Jeans
4537;50383;Women;Apparel;Bottomwear;Salwar and Dupatta;Red;Summer;2012.0;Ethnic;Vishudh Women Printed Red Salwar and Dupatta;50383.jpg;Women-Salwar and Dupatta
4814;39320;Boys;Apparel;Bottomwear;Shorts;Navy Blue;Summer;2012.0;Casual;Gini and Jony Boys Navy Blue Shorts;39320.jpg;Boys-Shorts
4823;54982;Women;Apparel;Loungewear and Nightwear;Lounge Pants;Blue;Summer;2017.0;Casual;Femella Women Printed Blue Lounge Pants;54982.jpg;Women-Lounge Pants
4846;21589;Women;Apparel;Bottomwear;Swimwear;Black;Summer;2011.0;Sports;Nabaiji Women Solid Black Swimsuit;21589.jpg;Women-Swimwear
4880;6673;Men;Footwear;Shoes;Sports Shoes;White;Summer;2011.0;Sports;Nike Men's Air Pegasus 27 White Grey Shoe;6673.jpg;Men-Sports Shoes
4894;40771;Men;Accessories;Headwear;Caps;Blue;Summer;2012.0;Casual;Quiksilver Men Blue Firsty Roundtails Cap;40771.jpg;Men-Caps
4908;17640;Unisex;Accessories;Headwear;Headband;Black;Fall;2013.0;Sports;Puma Unisex Cat Black Headband;17640.jpg;Unisex-Headband
5000;39927;Unisex;Accessories;Bags;Tablet Sleeve;Blue;Winter;2012.0;Casual;Tortoise Unisex Blue Tablet Sleeve;39927.jpg;Unisex-Tablet Sleeve
5260;51294;Boys;Accessories;Eyewear;Sunglasses;Black;Fall;2012.0;Casual;Hop Scotch Boys Black Sunglasses;51294.jpg;Boys-Sunglasses
5275;22554;Unisex;Personal Care;Fragrance;Deodorant;Silver;Spring;2017.0;Casual;Reebok Unisex Reekick Deo;22554.jpg;Unisex-Deodorant
5432;34258;Men;Apparel;Bottomwear;Tracksuits;Navy Blue;Summer;2013.0;Sports;Proline Men Navy Tracksuit;34258.jpg;Men-Tracksuits
5760;6150;Unisex;Footwear;Shoes;Sports Shoes;Silver;Summer;2011.0;Sports;Puma Unisex Tornado Silver Navy Shoes;6150.jpg;Unisex-Sports Shoes
6194;47270;Men;Apparel;Innerwear;Boxers;Blue;Summer;2016.0;Casual;FCUK Underwear Blue Printed Boxers;47270.jpg;Men-Boxers
6781;48807;Men;Accessories;Jewellery;Pendant;Steel;Summer;2012.0;Casual;Revv Men Steel Pendant;48807.jpg;Men-Pendant
6880;14724;Unisex;Accessories;Mufflers;Mufflers;Black;Fall;2011.0;Casual;Scullers Unisex Casual Muffler Black Mufflers;14724.jpg;Unisex-Mufflers
7019;30723;Boys;Apparel;Topwear;Kurtas;Blue;Summer;2012.0;Ethnic;Fabindia Boys Printed Blue Kurta;30723.jpg;Boys-Kurtas
7045;33152;Girls;Apparel;Topwear;Tops;Green;Summer;2012.0;Casual;Gini and Jony Girls Printed Green Top;33152.jpg;Girls-Tops
7084;57625;Unisex;Personal Care;Skin Care;Sunscreen;Orange;Spring;2017.0;Casual;Lotus Herbals Kids Sun Block Cream;57625.jpg;Unisex-Sunscreen
7166;18176;Boys;Apparel;Topwear;Sweatshirts;Green;Fall;2011.0;Casual;Doodle Kids-Boys Flap 02 Green Sweatshirt;18176.jpg;Boys-Sweatshirts
7197;57884;Women;Personal Care;Skin;Mask and Peel;White;Spring;2017.0;Casual;Biotique Bio Pistachio Face Pack;57884.jpg;Women-Mask and Peel
7348;57622;Men;Personal Care;Skin Care;Sunscreen;White;Spring;2017.0;;Lotus Herbals Safe Sun Sunscreen for Men;57622.jpg;Men-Sunscreen
7620;42935;Men;Accessories;Bags;Handbags;Khaki;Summer;2012.0;Casual;French Connection Men Khaki Handbag;42935.jpg;Men-Handbags
7622;54850;Women;Accessories;Jewellery;Necklace and Chains;Gold;Summer;2013.0;Casual;Ivory Tag Women Swirling Jazz Golden Coloured Necklace;54850.jpg;Women-Necklace and Chains
7634;1584;Unisex;Apparel;Topwear;Jackets;White;Summer;2011.0;Casual;Domyos Unisex Feather-light Jacket;1584.jpg;Unisex-Jackets
7636;57614;Women;Personal Care;Skin Care;Sunscreen;Orange;Spring;2017.0;Casual;Lotus Herbals Extreme Sun Block Sunscreen;57614.jpg;Women-Sunscreen
7751;10771;Girls;Footwear;Shoes;Casual Shoes;Red;Winter;2012.0;Casual;Disney Kids Red Casual Shoes;10771.jpg;Girls-Casual Shoes
7838;37537;Boys;Apparel;Socks;Booties;Yellow;Summer;2012.0;Casual;Madagascar 3 Infant Boys Yellow Booties;37537.jpg;Boys-Booties
7986;30715;Boys;Apparel;Apparel Set;Kurta Sets;Blue;Summer;2012.0;Ethnic;Fabindia Boys Blue & Green Angarakha Dhoti Set;30715.jpg;Boys-Kurta Sets
8384;25861;Unisex;Accessories;Bags;Laptop Bag;Black;Winter;2015.0;Casual;American Tourister Unisex Black Laptop Bag;25861.jpg;Unisex-Laptop Bag
8458;14984;Men;Apparel;Topwear;Sweatshirts;Black;Fall;2011.0;Sports;ADIDAS Men Real Madrid Black Sweatshirts;14984.jpg;Men-Sweatshirts
8632;30776;Men;Apparel;Topwear;Kurtis;Maroon;Summer;2012.0;Ethnic;Fabindia Men Maroon Ajrak Printed Kurti;30776.jpg;Men-Kurtis
8679;56138;Women;Personal Care;Makeup;Eyeshadow;Pink;Spring;2017.0;Casual;Colorbar Expensive Pink Eye Shadow 005;56138.jpg;Women-Eyeshadow
8768;58600;Women;Accessories;Accessories;Hair Accessory;Pink;Winter;2016.0;Casual;ToniQ Women Pink Hair Accessories;58600.jpg;Women-Hair Accessory
8958;7610;Men;Accessories;Bags;Messenger Bag;Brown;Summer;2011.0;Casual;Wrangler Men Chocolate Canvas Bag;7610.jpg;Men-Messenger Bag
9078;47088;Boys;Footwear;Flip Flops;Flip Flops;Blue;Winter;2013.0;Casual;Kids Ville Boys Blue Flip Flops;47088.jpg;Boys-Flip Flops
9827;30714;Boys;Apparel;Bottomwear;Churidar;White;Summer;2012.0;Ethnic;Fabindia Boys White Churidar;30714.jpg;Boys-Churidar
9834;17136;Women;Accessories;Bags;Handbags;Black;Winter;2015.0;Casual;Lino Perros Women Flower Black Handbag;17136.jpg;Women-Handbags
9915;49717;Men;Free Items;Free Gifts;Ties;Black;Summer;2012.0;Formal;Park Avenue Black & Red Checked Tie;49717.jpg;Men-Ties
9979;9340;Women;Apparel;Topwear;Tops;Black;Fall;2011.0;Casual;Puma Women blink blink Black Tops;9340.jpg;Women-Tops
10117;53073;Women;Accessories;Bags;Clutches;Brown;Summer;2012.0;Casual;Rocia Women Brown Clutch;53073.jpg;Women-Clutches
10340;27905;Women;Apparel;Bottomwear;Trousers;Black;Summer;2012.0;Casual;Scullers For Her Black Trousers;27905.jpg;Women-Trousers
10371;57418;Women;Apparel;Loungewear and Nightwear;Robe;Black;Winter;2015.0;Casual;Amante Black Robe;57418.jpg;Women-Robe
10610;40009;Men;Apparel;Topwear;Tunics;Green;Fall;2012.0;Casual;Park Avenue Men Black & Green Frame Sunglasses;40009.jpg;Men-Tunics
10814;55517;Unisex;Personal Care;Hair;Hair Colour;Black;Spring;2017.0;Casual;Revlon Top Speed Natural Black Hair Colour Natural Black 70;55517.jpg;Unisex-Hair Colour
11008;3826;Unisex;Footwear;Sandal;Sandals;Red;Summer;2011.0;Casual;Crocs Unisex Crocband Red Sandal;3826.jpg;Unisex-Sandals
11237;36067;Unisex;Accessories;Bags;Handbags;Green;Winter;2012.0;Casual;OTLS Green Tote Bag;36067.jpg;Unisex-Handbags
11402;4646;Men;Footwear;Sandal;Sports Sandals;Grey;Spring;2013.0;Casual;ADIDAS Men Grey and Navy Blue Sandal;4646.jpg;Men-Sports Sandals
11446;38767;Girls;Apparel;Bottomwear;Shorts;Pink;Summer;2012.0;Casual;Gini and Jony Girls Pink Shorts;38767.jpg;Girls-Shorts
11474;23579;Women;Personal Care;Fragrance;Fragrance Gift Set;White;Spring;2017.0;Casual;Nike Women Pack of 3 Fragrance Gift Set;23579.jpg;Women-Fragrance Gift Set
11498;49152;Women;Personal Care;Lips;Lip Liner;Copper;Spring;2017.0;;Deborah Extra Lip Liner 05;49152.jpg;Women-Lip Liner
11947;37514;Boys;Apparel;Bottomwear;Leggings;Yellow;Summer;2012.0;Casual;Madagascar3 Infant Boys Lemon Yellow Leggings;37514.jpg;Boys-Leggings
12230;40826;Unisex;Home;Home Furnishing;Cushion Covers;Yellow;Fall;2012.0;Home;Swayam Unisex Yellow and Orange Cushion Covers (Set of 2);40826.jpg;Unisex-Cushion Covers
12331;23583;Women;Personal Care;Fragrance;Deodorant;Pink;Spring;2017.0;Casual;Nike Fragrances Women Trendy Deo;23583.jpg;Women-Deodorant
12830;37540;Boys;Accessories;Gloves;Gloves;Yellow;Summer;2012.0;Casual;Madagascar 3 Infant Boys Yellow Mittens;37540.jpg;Boys-Gloves
13018;51594;Women;Apparel;Bottomwear;Jeggings;Blue;Summer;2012.0;Casual;Wrangler Women Blue Jeggings;51594.jpg;Women-Jeggings
13054;20990;Unisex;Accessories;Belts;Belts;Olive;Winter;2016.0;Casual;Fastrack Unisex Polyester Olive Belt;20990.jpg;Unisex-Belts
13137;28751;Women;Apparel;Topwear;Kurtas;Blue;Summer;2012.0;Ethnic;Aurelia Women Printed Blue Kurta;28751.jpg;Women-Kurtas
13248;30753;Men;Apparel;Topwear;Kurtas;Blue;Summer;2012.0;Ethnic;Fabindia Men Blue Kurta;30753.jpg;Men-Kurtas
13397;42942;Men;Accessories;Belts;Belts;Black;Summer;2012.0;Casual;French Connection Men Black Tobacco Belt;42942.jpg;Men-Belts
13687;56546;Women;Personal Care;Makeup;Makeup Remover;White;Spring;2017.0;;Streetwear Makeup Remover;56546.jpg;Women-Makeup Remover
13919;38757;Men;Accessories;Bags;Waist Pouch;Black;Summer;2012.0;Casual;Nike Men Black Training Waist Pouch;38757.jpg;Men-Waist Pouch
14084;1555;Unisex;Accessories;Water Bottle;Water Bottle;Purple;Fall;2010.0;Sports;Quechua Red Sipper;1555.jpg;Unisex-Water Bottle
14383;23585;Men;Personal Care;Fragrance;Perfume and Body Mist;Silver;Spring;2017.0;Casual;Nike Fragrances Men Up or Down Perfume;23585.jpg;Men-Perfume and Body Mist
14489;30730;Girls;Apparel;Bottomwear;Salwar;Purple;Summer;2012.0;Ethnic;Fabindia Girls Printed Purple Salwar;30730.jpg;Girls-Salwar
14507;1552;Unisex;Sporting Goods;Sports Equipment;Footballs;White;Fall;2010.0;Sports;Puma Power Cat Trainer-WR Football;1552.jpg;Unisex-Footballs
14581;24566;Women;Apparel;Topwear;Tshirts;Grey;Summer;2012.0;Casual;Lee Women Carren Grey T-shirt;24566.jpg;Women-Tshirts
14604;58213;Women;Apparel;Bottomwear;Patiala;Red;Fall;2012.0;Ethnic;Shree Women Red Printed Patiala;58213.jpg;Women-Patiala
14714;23578;Unisex;Personal Care;Fragrance;Fragrance Gift Set;Black;Spring;2017.0;Casual;Nike Unisex Set of 3 Fragrance Gift Set;23578.jpg;Unisex-Fragrance Gift Set
14862;45567;Men;Personal Care;Fragrance;Deodorant;Black;Spring;2017.0;Casual;Playboy Men Black Malibu Deo;45567.jpg;Men-Deodorant
14874;3465;Unisex;Apparel;Apparel Set;Swimwear;Black;Fall;2010.0;Sports;ADIDAS Unisex Black White Swimming Cap;3465.jpg;Unisex-Swimwear
14978;59564;Men;Accessories;Cufflinks;Cufflinks;Steel;Summer;2012.0;Casual;Revv Men Steel Cufflinks;59564.jpg;Men-Cufflinks
15095;37524;Boys;Apparel;Topwear;Rompers;Blue;Summer;2012.0;Casual;Madagascar3 Infant Boys Light Blue Snapsuit Romper;37524.jpg;Boys-Rompers
15205;42583;Boys;Apparel;Topwear;Waistcoat;Navy Blue;Summer;2012.0;Casual;United Colors of Benetton Boys Navy Blue Waistcoat;42583.jpg;Boys-Waistcoat
15238;57607;Women;Personal Care;Skin Care;Toner;Green;Spring;2017.0;;Lotus Herbals Basiltone Toner;57607.jpg;Women-Toner
15279;18903;Unisex;Accessories;Gloves;Gloves;Black;Summer;2011.0;Casual;ADIDAS Originals Unisex AC Striped Black Gloves;18903.jpg;Unisex-Gloves
15378;36200;Boys;Apparel;Topwear;Jackets;Red;Summer;2012.0;Casual;Gini Jony Boys Printed Red Jacket;36200.jpg;Boys-Jackets
15645;55331;Women;Personal Care;Hair;Hair Colour;Brown;Spring;2017.0;Casual;Revlon Women Color Silk Dark Mahogany Brown Hair Colour 3RB;55331.jpg;Women-Hair Colour
15684;38993;Boys;Apparel;Bottomwear;Jeans;Blue;Summer;2012.0;Casual;Gini and Jony Boys Rodeo Blue Jeans;38993.jpg;Boys-Jeans
15766;29029;Unisex;Accessories;Headwear;Caps;Navy Blue;Fall;2014.0;Casual;ADIDAS Unisex Corps Navy Blue Cap;29029.jpg;Unisex-Caps
15815;37577;Girls;Accessories;Gloves;Gloves;Pink;Summer;2012.0;Casual;Madagascar 3 Infants Girl Pink Mittens;37577.jpg;Girls-Gloves
16306;59733;Women;Apparel;Innerwear;Shapewear;Pink;Summer;2014.0;Casual;Avirate Pink Wired Corset Shapewear;59733.jpg;Women-Shapewear
16316;9754;Women;Apparel;Bottomwear;Track Pants;Black;Fall;2011.0;Casual;ADIDAS Women Ess Mf Yoga Black Pants;9754.jpg;Women-Track Pants
16667;34308;Women;Accessories;Stoles;Stoles;Black;Summer;2012.0;Ethnic;Fabindia Women Black Silk & Wool Stole;34308.jpg;Women-Stoles
16825;31161;Boys;Apparel;Topwear;Blazers;Navy Blue;Summer;2012.0;Casual;Gini and Jony Boys Printed Navy Blue Blazer;31161.jpg;Boys-Blazers
16871;36512;Men;Accessories;Bags;Backpacks;Black;Summer;2012.0;Casual;United Colors of Benetton Men Black Backpack;36512.jpg;Men-Backpacks
17040;47549;Women;Footwear;Shoes;Heels;Gold;Winter;2012.0;Casual;Portia Women Gold Heels;47549.jpg;Women-Heels
17095;8364;Girls;Apparel;Topwear;Tshirts;Blue;Fall;2011.0;Casual;Doodle Girl's Happy Smiles Blue Pink Kidswear;8364.jpg;Girls-Tshirts
17183;51077;Women;Free Items;Free Gifts;Free Gifts;Yellow;Summer;2012.0;Ethnic;Satya Paul Yellow Saree;51077.jpg;Women-Free Gifts
17254;55281;Women;Personal Care;Makeup;Highlighter and Blush;Pink;Spring;2017.0;Casual;Lakme Cheek Chromatic Baked Blusher;55281.jpg;Women-Highlighter and Blush
17293;15797;Men;Apparel;Innerwear;Briefs;White;Summer;2016.0;Casual;Facit Men White Comfort Briefs;15797.jpg;Men-Briefs
17679;55071;Women;Personal Care;Eyes;Mascara;Black;Spring;2017.0;Casual;Lakme Women Absolute Flutter Secrets Dramatic Eyes Mascara B004;55071.jpg;Women-Mascara
17834;6835;Unisex;Accessories;Shoe Accessories;Shoe Accessories;Black;Summer;2011.0;;Timberland Unisex Max 2 Shine Black Shoe Accessories;6835.jpg;Unisex-Shoe Accessories
17847;38223;Women;Accessories;Cufflinks;Ties and Cufflinks;Black;Summer;2015.0;Casual;Polaroid Women Sunglasses;38223.jpg;Women-Ties and Cufflinks
17942;39108;Girls;Accessories;Headwear;Caps;Blue;Summer;2012.0;Sports;ADIDAS Mumbai Indians Girls Blue Match Cap;39108.jpg;Girls-Caps
18431;42066;Unisex;Accessories;Accessories;Key chain;Black;Summer;2012.0;Casual;American Tourister Unisex Black Key Case;42066.jpg;Unisex-Key chain
18601;36745;Girls;Apparel;Apparel Set;Clothing Set;Red;Summer;2012.0;Casual;Little Miss Girls Sunshine Red Clothing Set;36745.jpg;Girls-Clothing Set
18661;42059;Unisex;Accessories;Bags;Mobile Pouch;Red;Summer;2015.0;Casual;American Tourister Unisex Red Camera Bag;42059.jpg;Unisex-Mobile Pouch
18742;38284;Boys;Apparel;Topwear;Tshirts;Green;Summer;2012.0;Casual;Marvel Boys Green Printed T-shirt;38284.jpg;Boys-Tshirts
18743;14872;Women;Accessories;Umbrellas;Umbrellas;Blue;Summer;2011.0;Casual;United Colors of Benetton Women Printed Blue Umbrellas;14872.jpg;Women-Umbrellas
18774;17636;Unisex;Accessories;Scarves;Scarves;Purple;Fall;2011.0;Casual;Puma Unisex Graphic Purple Scarf;17636.jpg;Unisex-Scarves
18976;40738;Unisex;Footwear;Flip Flops;Flip Flops;Navy Blue;Summer;2012.0;Casual;Converse Unisex Navy Blue Flip Flops;40738.jpg;Unisex-Flip Flops
19023;59271;Women;Accessories;Watches;Watches;Steel;Winter;2016.0;Casual;Titan Women Steel Watch;59271.jpg;Women-Watches
19092;44962;Men;Free Items;Free Gifts;Free Gifts;Black;Winter;2016.0;Casual;Maxima Men Black Watch;44962.jpg;Men-Free Gifts
19199;52003;Women;Apparel;Loungewear and Nightwear;Lounge Tshirts;Black;Summer;2016.0;Casual;Inaya Women Black Lounge Top;52003.jpg;Women-Lounge Tshirts
19699;53380;Unisex;Footwear;Sandal;Sports Sandals;Black;Summer;2012.0;Casual;Puma Unisex Black Sandals;53380.jpg;Unisex-Sports Sandals
19802;43916;Women;Apparel;Bottomwear;Shorts;Yellow;Summer;2012.0;Casual;Femella Women Yellow Shorts;43916.jpg;Women-Shorts
20112;47125;Boys;Footwear;Shoes;Casual Shoes;Blue;Fall;2012.0;Casual;Marvel Boys Blue Web Spider Shoes;47125.jpg;Boys-Casual Shoes
