;id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;image;genderArticle
20159;39107;Boys;Accessories;Headwear;Caps;Blue;Summer;2012.0;Sports;ADIDAS Mumbai Indians Boys Blue Match Cap;39107.jpg;Boys-Caps
20230;48732;Men;Accessories;Jewellery;Bangle;Steel;Summer;2012.0;Casual;Revv Men Steel Bangle;48732.jpg;Men-Bangle
20240;38445;Women;Accessories;Bags;Tablet Sleeve;Black;Summer;2012.0;Casual;Baggit Women Black I-Pad Cover;38445.jpg;Women-Tablet Sleeve
20766;20220;Men;Apparel;Topwear;Sweaters;Navy Blue;Fall;2011.0;Casual;Wrangler Men Rib Navy Sweater;20220.jpg;Men-Sweaters
20957;2633;Men;Footwear;Shoes;Heels;Black;Summer;2010.0;Smart Casual;Carlton London Men Black Leather Casual Shoes.;2633.jpg;Men-Heels
21055;26974;Women;Apparel;Dress;Dresses;Pink;Summer;2012.0;Casual;Jealous 21 Women Pink Printed Dress;26974.jpg;Women-Dresses
21245;43721;Women;Accessories;Jewellery;Bangle;Gold;Summer;2012.0;Casual;Royal Diadem Set of 2 Golden Bangles;43721.jpg;Women-Bangle
22683;34057;Boys;Apparel;Bottomwear;Capris;Blue;Summer;2012.0;Casual;Gini and Jony Boys Washed Blue 3/4 Length Pants;34057.jpg;Boys-Capris
22732;41004;Girls;Apparel;Bottomwear;Skirts;Navy Blue;Summer;2012.0;Casual;Gini and Jony Girls Woven Navy Blue Skirts;41004.jpg;Girls-Skirts
22779;41236;Girls;Apparel;Bottomwear;Capris;Black;Summer;2012.0;Casual;Gini and Jony Kids Girls Black Capris;41236.jpg;Girls-Capris
22877;39121;Women;Apparel;Bottomwear;Leggings;Pink;Fall;2012.0;Casual;Aneri Women Pink Leggings;39121.jpg;Women-Leggings
23403;32533;Men;Personal Care;Fragrance;Fragrance Gift Set;Black;Spring;2017.0;Casual;Playboy Men Hollywood Fragrance Gift Set;32533.jpg;Men-Fragrance Gift Set
24036;52816;Men;Accessories;Watches;Watches;Black;Winter;2016.0;Casual;Morellato Men Black Watch;52816.jpg;Men-Watches
24049;19544;Men;Accessories;Gloves;Gloves;Green;Fall;2011.0;Casual;United Colors of Benetton Men Solid Green Gloves;19544.jpg;Men-Gloves
24156;59851;Women;Personal Care;Skin;Face Serum and Gel;White;Spring;2017.0;Casual;Olay Women White Radiance Intensive Brightening Serum;59851.jpg;Women-Face Serum and Gel
24166;51200;Women;Apparel;Innerwear;Bra;Pink;Summer;2017.0;Casual;Enamor Women Pink Bra;51200.jpg;Women-Bra
24213;20051;Women;Accessories;Mufflers;Mufflers;Blue;Fall;2011.0;Casual;United Colors Of Benetton Women Blue Muffler;20051.jpg;Women-Mufflers
24256;34035;Boys;Apparel;Topwear;Shirts;Navy Blue;Summer;2012.0;Casual;Gini and Jony Boys Check Navy Blue Shirt;34035.jpg;Boys-Shirts
24357;52478;Women;Apparel;Loungewear and Nightwear;Baby Dolls;Red;Winter;2015.0;Casual;Red Rose Red Nightdress;52478.jpg;Women-Baby Dolls
24443;26156;Men;Apparel;Bottomwear;Trousers;Brown;Summer;2012.0;Formal;John Miller Men Striped Brown Trousers;26156.jpg;Men-Trousers
24526;19915;Unisex;Accessories;Bags;Waist Pouch;Pink;Winter;2015.0;Casual;Wildcraft Unisex Pink Waist Pouch;19915.jpg;Unisex-Waist Pouch
24532;31743;Men;Apparel;Topwear;Blazers;Olive;Summer;2012.0;Formal;Reid & Taylor Men Semi Formal Olive Blazer;31743.jpg;Men-Blazers
24555;57763;Women;Personal Care;Skin Care;Face Scrub and Exfoliator;Cream;Spring;2017.0;;Lotus Herbals Apriscrub;57763.jpg;Women-Face Scrub and Exfoliator
24667;13619;Women;Apparel;Innerwear;Innerwear Vests;White;Winter;2015.0;Casual;Hanes Women Short Sleeve White Innerwear T-shirt;13619.jpg;Women-Innerwear Vests
24771;48575;Men;Accessories;Jewellery;Bracelet;Steel;Summer;2012.0;Casual;Revv Men Steel Bracelet;48575.jpg;Men-Bracelet
24856;42084;Unisex;Accessories;Wallets;Wallets;Brown;Summer;2015.0;Casual;American Tourister Unisex Brown Passport Holder;42084.jpg;Unisex-Wallets
24944;23611;Women;Personal Care;Fragrance;Perfume and Body Mist;Pink;Spring;2017.0;Casual;Nike Fragrances Women Paradise Perfume;23611.jpg;Women-Perfume and Body Mist
24979;34494;Women;Apparel;Bottomwear;Skirts;Black;Summer;2012.0;Formal;Van Heusen Woman Black Skirt;34494.jpg;Women-Skirts
25026;57397;Women;Apparel;Innerwear;Briefs;Pink;Winter;2015.0;Casual;Amante Women Pink Briefs PGDI03;57397.jpg;Women-Briefs
25308;13448;Women;Apparel;Topwear;Shirts;Pink;Summer;2011.0;Casual;United Colors of Benetton Women Solid Pink Shirts;13448.jpg;Women-Shirts
25388;31720;Girls;Accessories;Jewellery;Earrings;Silver;Summer;2012.0;Ethnic;Fabindia Girls Anusuya Silver Earrings;31720.jpg;Girls-Earrings
25407;57700;Women;Personal Care;Skin;Face Moisturisers;White;Spring;2017.0;;Lotus Herbals Papayablem Anti-Blemish Creme;57700.jpg;Women-Face Moisturisers
25458;40743;Women;Accessories;Headwear;Caps;Pink;Winter;2012.0;Casual;Roxy Women Pink Cap;40743.jpg;Women-Caps
25471;42828;Unisex;Sporting Goods;Wristbands;Wristbands;Red;Summer;2012.0;Sports;Nike Unisex Swoosh Red Wristbands;42828.jpg;Unisex-Wristbands
26125;15928;Unisex;Accessories;Accessories;Travel Accessory;Black;Fall;2011.0;Casual;ADIDAS Unisex Org City Corp Black Bag;15928.jpg;Unisex-Travel Accessory
26166;23482;Men;Free Items;Free Gifts;Scarves;Black;Summer;2012.0;Casual;Arrow Men Black & White Scarf;23482.jpg;Men-Scarves
26210;57731;Women;Personal Care;Lips;Lip Care;Rose;Spring;2017.0;;Lotus Herbals Velvety Rose Lip Balm;57731.jpg;Women-Lip Care
26497;22709;Women;Footwear;Shoes;Sports Shoes;White;Fall;2011.0;Sports;Nike Women White Air Dictate MSL Sports Shoes;22709.jpg;Women-Sports Shoes
26706;57765;Women;Personal Care;Skin Care;Face Wash and Cleanser;White;Spring;2017.0;Casual;Lotus Herbals Apricot Scrub;57765.jpg;Women-Face Wash and Cleanser
26716;13627;Men;Apparel;Loungewear and Nightwear;Lounge Shorts;Blue;Summer;2016.0;Casual;Hanes Men Knitted Blue Shorts;13627.jpg;Men-Lounge Shorts
26875;44375;Women;Apparel;Topwear;Waistcoat;Blue;Summer;2012.0;Casual;ONLY Women Blue Waistcoat;44375.jpg;Women-Waistcoat
26977;46046;Women;Accessories;Jewellery;Earrings;Gold;Winter;2016.0;Casual;Estelle Women Gold Earrings;46046.jpg;Women-Earrings
27216;52470;Women;Apparel;Innerwear;Camisoles;White;Winter;2015.0;Casual;Red Rose White Camisole;52470.jpg;Women-Camisoles
27358;6427;Unisex;Footwear;Shoes;Casual Shoes;Purple;Summer;2011.0;Casual;Lotto Unisex Canvas Purple Shoe;6427.jpg;Unisex-Casual Shoes
27584;15344;Women;Apparel;Bottomwear;Tracksuits;Black;Fall;2011.0;Sports;Nike Women Solid Black Tracksuits;15344.jpg;Women-Tracksuits
27780;14122;Women;Apparel;Bottomwear;Jeans;Blue;Fall;2011.0;Casual;Flying Machine Women Washed Blue Jeans;14122.jpg;Women-Jeans
27829;16023;Men;Apparel;Topwear;Shirts;Grey;Fall;2011.0;Casual;Highlander Men Stripes Grey Slim Fit Shirt;16023.jpg;Men-Shirts
28065;4008;Unisex;Sporting Goods;Sports Equipment;Basketballs;Yellow;Summer;2011.0;Sports;Spalding Unisex Ochre Yellow Basketball;4008.jpg;Unisex-Basketballs
28104;4666;Unisex;Accessories;Watches;Watches;Black;Winter;2016.0;Sports;ADIDAS Unisex Response Galaxy Black Watch;4666.jpg;Unisex-Watches
28145;17330;Women;Accessories;Eyewear;Sunglasses;Black;Winter;2016.0;Casual;Pepe Jeans Women Casual Sunglasses;17330.jpg;Women-Sunglasses
28167;15467;Men;Apparel;Bottomwear;Shorts;Black;Fall;2011.0;Casual;Puma Men Logo Bermuda Black Shorts;15467.jpg;Men-Shorts
28326;59777;Women;Accessories;Jewellery;Bracelet;Gold;Winter;2016.0;Casual;Estelle Women Gold Bracelet;59777.jpg;Women-Bracelet
28480;37533;Boys;Apparel;Innerwear;Innerwear Vests;Yellow;Summer;2012.0;Casual;Madagascar3 Boys Yellow Innerwear Vest;37533.jpg;Boys-Innerwear Vests
28866;34721;Girls;Apparel;Bottomwear;Trousers;Black;Summer;2012.0;Casual;Allen Solly Kids Girls Twill Black Trousers;34721.jpg;Girls-Trousers
29177;28771;Women;Apparel;Topwear;Kurtis;Green;Summer;2012.0;Ethnic;Aurelia Women Printed Green Kurti;28771.jpg;Women-Kurtis
29428;21253;Unisex;Accessories;Bags;Duffel Bag;Brown;Fall;2011.0;Casual;Skybags Unisex Brown Duffle Bag;21253.jpg;Unisex-Duffel Bag
29616;57811;Women;Apparel;Dress;Jumpsuit;Purple;Fall;2012.0;Casual;United Colors of Benetton Women Purple  Jumpsuit;57811.jpg;Women-Jumpsuit
29654;30742;Men;Apparel;Topwear;Nehru Jackets;Blue;Summer;2012.0;Ethnic;Fabindia Men Striped Blue Silk Sleeveless Jacket;30742.jpg;Men-Nehru Jackets
29740;49128;Women;Personal Care;Makeup;Concealer;Beige;Spring;2017.0;Casual;Deborah Light Beige  24 Ore Perfect Concealer 01;49128.jpg;Women-Concealer
30161;55541;Women;Personal Care;Makeup;Kajal and Eyeliner;Black;Spring;2017.0;Casual;Revlon Colorstay Black Eyeliner;55541.jpg;Women-Kajal and Eyeliner
30210;25058;Men;Accessories;Accessories;Accessory Gift Set;Blue;Winter;2015.0;Formal;Lino Perros Men Formal Blue Accessory Gift Set;25058.jpg;Men-Accessory Gift Set
30434;50662;Men;Apparel;Loungewear and Nightwear;Lounge Pants;Navy Blue;Summer;2016.0;Sports;Chromozome Men Navy Blue Lounge Pants;50662.jpg;Men-Lounge Pants
30460;57681;Women;Personal Care;Bath and Body;Body Lotion;Cream;Spring;2017.0;;Lotus Herbals Cherry Bliss Body Lotion;57681.jpg;Women-Body Lotion
30556;3473;Men;Accessories;Accessories;Water Bottle;Black;Fall;2010.0;Casual;ADIDAS Black Sipper;3473.jpg;Men-Water Bottle
30591;28985;Women;Apparel;Apparel Set;Kurta Sets;White;Summer;2012.0;Ethnic;Biba Outlet Women White & Green Printed Churidar Kurta with Dupatta;28985.jpg;Women-Kurta Sets
30632;26675;Women;Footwear;Flip Flops;Flip Flops;Black;Summer;2012.0;Casual;Puma Women Stawberry Black Flip Flops;26675.jpg;Women-Flip Flops
30633;12440;Unisex;Accessories;Headwear;Hat;Black;Fall;2011.0;Casual;Timberland Unisex Casual Black Skull Caps;12440.jpg;Unisex-Hat
30776;17931;Men;Apparel;Bottomwear;Tights;Black;Summer;2012.0;Sports;Nike Men Training Black Tights;17931.jpg;Men-Tights
31375;53617;Unisex;Free Items;Free Gifts;Free Gifts;Black;Winter;2016.0;Casual;Q&Q Unisex Black Digital Watch;53617.jpg;Unisex-Free Gifts
31383;56365;Men;Personal Care;Skin Care;Mens Grooming Kit;Gold;Spring;2017.0;Casual;Baldessarini Men Strictly Private 90 ml After Shave Lotion;56365.jpg;Men-Mens Grooming Kit
31632;53046;Women;Apparel;Saree;Sarees;Multi;Fall;2012.0;Ethnic;FNF Multi Coloured Printed Sari;53046.jpg;Women-Sarees
31644;30726;Girls;Apparel;Topwear;Lehenga Choli;Blue;Summer;2012.0;Ethnic;Fabindia Girls Printed Blue Lehenga Choli;30726.jpg;Girls-Lehenga Choli
31671;18528;Boys;Accessories;Watches;Watches;Green;Winter;2016.0;Casual;Chhota Bheem Kids-Boys Green Digital Pop Watch;18528.jpg;Boys-Watches
31868;55980;Women;Personal Care;Lips;Lipstick;Brown;Spring;2017.0;Casual;Colorbar Velvet Dark Brown Matte Bare Lipstick 58 BR;55980.jpg;Women-Lipstick
31896;34943;Women;Apparel;Topwear;Dupatta;Cream;Summer;2012.0;Ethnic;Fabindia Printed Cream Cotton Silk Dupatta;34943.jpg;Women-Dupatta
31956;51910;Women;Accessories;Bags;Laptop Bag;Lavender;Summer;2016.0;Casual;Nyk Women Lavender Orchid Laptop Bag;51910.jpg;Women-Laptop Bag
32068;36218;Girls;Apparel;Bottomwear;Leggings;Pink;Summer;2012.0;Casual;Gini Jony Girls Pink Leggings;36218.jpg;Girls-Leggings
32429;2366;Girls;Accessories;Bags;Backpacks;Black;Winter;2010.0;Sports;ADIDAS Black Girls Backpack;2366.jpg;Girls-Backpacks
32512;2702;Girls;Apparel;Topwear;Shirts;Blue;Summer;2011.0;Casual;Disney Kids Girl's Blue Check Kidswear Shirt;2702.jpg;Girls-Shirts
32614;37550;Girls;Apparel;Socks;Booties;Green;Summer;2012.0;Casual;Madagascar 3 Infant Girls Light Green Booties;37550.jpg;Girls-Booties
32980;35209;Women;Accessories;Bags;Backpacks;Pink;Spring;2013.0;Casual;Wildcraft Women Pink & Grey Backpack;35209.jpg;Women-Backpacks
32988;17965;Women;Footwear;Sandal;Sports Sandals;Black;Fall;2011.0;Casual;Puma Women Black Sandal;17965.jpg;Women-Sports Sandals
33007;37906;Unisex;Personal Care;Fragrance;Perfume and Body Mist;Gold;Spring;2017.0;Casual;RNC Unisex Fraiche Perfume;37906.jpg;Unisex-Perfume and Body Mist
33171;37561;Girls;Apparel;Topwear;Rompers;Pink;Summer;2012.0;Casual;Madagascar3 Infant Girls Pink Snapsuit Romper;37561.jpg;Girls-Rompers
33630;11876;Men;Footwear;Sandal;Sandals;Black;Summer;2012.0;Casual;Franco Leone Men Casual Black Sandals;11876.jpg;Men-Sandals
33825;51332;Men;Apparel;Bottomwear;Rain Trousers;Black;Summer;2015.0;;Wildcraft Men Black Rain Trousers;51332.jpg;Men-Rain Trousers
34106;37586;Girls;Apparel;Innerwear;Innerwear Vests;Pink;Summer;2012.0;Casual;Madagascar Girls Pink Innerwear Vest;37586.jpg;Girls-Innerwear Vests
35221;56181;Women;Personal Care;Makeup;Compact;Skin;Spring;2017.0;Casual;Colorbar Triple Act Bisque Compact 006;56181.jpg;Women-Compact
35280;52377;Women;Apparel;Loungewear and Nightwear;Nightdress;Pink;Winter;2015.0;Casual;Red Rose Women Pink Nightdress;52377.jpg;Women-Nightdress
35310;22232;Men;Accessories;Shoe Accessories;Shoe Accessories;Brown;Fall;2012.0;;Timberland Men Brown Shoe Laces;22232.jpg;Men-Shoe Accessories
35545;57892;Women;Personal Care;Skin Care;Eye Cream;Beige;Spring;2017.0;Casual;Biotique Women Bio Almond Eye Cream;57892.jpg;Women-Eye Cream
35604;44016;Men;Personal Care;Bath and Body;Body Wash and Scrub;Silver;Spring;2017.0;Casual;BOSS Men Selection Shower Gel;44016.jpg;Men-Body Wash and Scrub
35668;2584;Unisex;Apparel;Bottomwear;Track Pants;Black;Fall;2010.0;Sports;Kalenji Unisex Tight Black Track Pant;2584.jpg;Unisex-Track Pants
36057;55351;Women;Personal Care;Bath and Body;Nail Essentials;Purple;Spring;2017.0;Casual;Revlon Extra Gentle Nail Polish Remover;55351.jpg;Women-Nail Essentials
36179;34553;Women;Accessories;Bags;Duffel Bag;Green;Summer;2012.0;Casual;Puma Women Campus Grip Green Duffle Bag;34553.jpg;Women-Duffel Bag
36231;47055;Women;Apparel;Bottomwear;Salwar;Brown;Summer;2012.0;Ethnic;Shree Women Brown Jodhpuri Salwar;47055.jpg;Women-Salwar
36257;38964;Unisex;Accessories;Bags;Rucksacks;Red;Summer;2015.0;Travel;Wildcraft Unisex Red Rucksack;38964.jpg;Unisex-Rucksacks
36761;8224;Men;Accessories;Bags;Duffel Bag;Black;Winter;2016.0;Casual;Fastrack Men Black Gym Bag;8224.jpg;Men-Duffel Bag
36762;49103;Women;Personal Care;Lips;Lip Plumper;Copper;Spring;2017.0;Casual;Deborah Chocolate Volume Lip Plumper 05;49103.jpg;Women-Lip Plumper
36790;12895;Boys;Footwear;Shoes;Sports Shoes;Black;Fall;2012.0;Sports;Puma Boys Black Furure Cat Remix Sports Shoes;12895.jpg;Boys-Sports Shoes
37011;59505;Women;Accessories;Jewellery;Pendant;Silver;Fall;2012.0;Casual;Lucera Silver Pendant With Chain;59505.jpg;Women-Pendant
37206;11246;Unisex;Apparel;Topwear;Sweatshirts;Grey;Fall;2011.0;Sports;Urban Yoga Unisex Solid Grey Sweatshirts;11246.jpg;Unisex-Sweatshirts
37376;55935;Women;Personal Care;Nails;Nail Polish;Mauve;Spring;2017.0;Casual;Colorbar Dusky Mauve Nail Lacquer 27;55935.jpg;Women-Nail Polish
37636;14599;Women;Apparel;Bottomwear;Stockings;Black;Summer;2011.0;Casual;United Colors of Benetton Women Solid Black Stockings;14599.jpg;Women-Stockings
37735;20555;Women;Accessories;Bags;Mobile Pouch;Green;Winter;2015.0;Casual;Baggit Women Auxi Hoor Green Mobile Pouch;20555.jpg;Women-Mobile Pouch
37778;12463;Men;Accessories;Stoles;Stoles;Blue;Fall;2011.0;Casual;Basics Men Blue Checked Stoles;12463.jpg;Men-Stoles
37860;30539;Unisex;Accessories;Socks;Socks;Black;Summer;2012.0;Sports;Nike Unisex Sports Black Socks;30539.jpg;Unisex-Socks
37974;36408;Men;Accessories;Socks;Socks;Navy Blue;Summer;2016.0;Casual;Reid & Taylor Men Navy Blue Socks;36408.jpg;Men-Socks
38050;30734;Men;Apparel;Bottomwear;Churidar;White;Summer;2012.0;Ethnic;Fabindia Men White Churidar;30734.jpg;Men-Churidar
38223;59103;Men;Apparel;Topwear;Rain Jacket;Olive;Summer;2012.0;Casual;Just Natural Men Military Shade Rain Jacket;59103.jpg;Men-Rain Jacket
38682;29041;Men;Apparel;Bottomwear;Track Pants;Navy Blue;Summer;2012.0;Sports;ADIDAS Men Navy Blue Track Pants;29041.jpg;Men-Track Pants
38918;42065;Unisex;Accessories;Bags;Trolley Bag;Black;Summer;2012.0;Casual;American Tourister Unisex Black Trolley Bag;42065.jpg;Unisex-Trolley Bag
39372;35554;Girls;Footwear;Sandal;Sandals;Pink;Summer;2012.0;Casual;Enroute Teens Pink Sandals;35554.jpg;Girls-Sandals
39500;19331;Women;Apparel;Topwear;Jackets;Navy Blue;Fall;2011.0;Casual;United Colors of Benetton Women Solid Navy Blue Jacket;19331.jpg;Women-Jackets
39600;30825;Women;Apparel;Bottomwear;Churidar;Magenta;Summer;2012.0;Ethnic;Fabindia Women Magenta Mangalgiri Churidar;30825.jpg;Women-Churidar
39723;23251;Men;Footwear;Shoes;Formal Shoes;Black;Fall;2011.0;Formal;Arrow Men Formal Black Shoe;23251.jpg;Men-Formal Shoes
40000;12347;Men;Apparel;Topwear;Suits;Red;Winter;2010.0;Casual;Fastrack Men Red Manhattan Regular Fit Solid Formal Shirt;12347.jpg;Men-Suits
40085;28478;Women;Apparel;Topwear;Tunics;Red;Summer;2012.0;Casual;Urban Yoga Women Printed Red Tunic;28478.jpg;Women-Tunics
40171;24870;Men;Accessories;Mufflers;Mufflers;Brown;Fall;2011.0;Casual;Reid & Taylor Men Brown Muffler;24870.jpg;Men-Mufflers
40403;39753;Boys;Apparel;Bottomwear;Trousers;Khaki;Summer;2012.0;Casual;Gini Jony Boys Khaki Trousers;39753.jpg;Boys-Trousers
40617;20225;Women;Apparel;Topwear;Sweaters;Red;Fall;2011.0;Casual;Wrangler Women Felt Red Sweater;20225.jpg;Women-Sweaters
40720;56269;Men;Apparel;Loungewear and Nightwear;Night suits;Maroon;Summer;2016.0;Casual;SDL by Sweet Dreams Men Maroon Pyjama Set;56269.jpg;Men-Night suits
40969;48962;Men;Accessories;Jewellery;Ring;Steel;Summer;2013.0;Casual;Revv Men Steel Ring;48962.jpg;Men-Ring
41009;56099;Women;Personal Care;Lips;Lip Gloss;Brown;Spring;2017.0;Casual;Colorbar Star Tiramisu Lip Gloss 05;56099.jpg;Women-Lip Gloss
41029;25933;Women;Accessories;Scarves;Scarves;Brown;Summer;2012.0;Casual;Femella Women Brown Scarf;25933.jpg;Women-Scarves
41095;38220;Unisex;Accessories;Eyewear;Sunglasses;Black;Winter;2016.0;Casual;Polaroid Unisex Sunglasses;38220.jpg;Unisex-Sunglasses
41347;47118;Boys;Footwear;Sandal;Sandals;Red;Spring;2013.0;Casual;Marvel Boys Red Spiderman Clogs;47118.jpg;Boys-Sandals
41427;37895;Women;Apparel;Bottomwear;Tights;Multi;Summer;2012.0;Casual;Happy Socks Women Striped Tights;37895.jpg;Women-Tights
42193;19339;Men;Apparel;Topwear;Jackets;Black;Fall;2011.0;Casual;United Colors of Benetton Men Solid Black Jacket;19339.jpg;Men-Jackets
42583;6609;Men;Apparel;Topwear;Tops;White;Summer;2011.0;Casual;Spykar Men's Stripes White Top;6609.jpg;Men-Tops
42641;46850;Girls;Footwear;Flip Flops;Flip Flops;Blue;Fall;2012.0;Casual;Barbie Girls Blue Flip Flops;46850.jpg;Girls-Flip Flops
42690;55823;Women;Apparel;Loungewear and Nightwear;Night suits;Pink;Summer;2017.0;Casual;SDL by Sweet Dreams Women Pink Printed Night Suit S11-3240;55823.jpg;Women-Night suits
42774;7717;Women;Footwear;Shoes;Casual Shoes;White;Fall;2011.0;Casual;Puma Women Soleil Stud White Shadow Purple Shoe;7717.jpg;Women-Casual Shoes
42800;36747;Boys;Apparel;Apparel Set;Clothing Set;White;Summer;2012.0;Casual;Mr.Men Boys I Am Sleeping White Clothing Set;36747.jpg;Boys-Clothing Set
43161;45824;Women;Free Items;Vouchers;Ipad;Blue;Summer;2012.0;Casual;Senorita Women Blue Flats;45824.jpg;Women-Ipad
43174;23804;Men;Footwear;Shoes;Casual Shoes;Black;Fall;2012.0;Casual;Puma Men Black Wirko Shoes;23804.jpg;Men-Casual Shoes
43420;59672;Women;Apparel;Topwear;Lehenga Choli;Brown;Fall;2012.0;Ethnic;FNF Brown & Gold Bridal Collection Lehenga Choli;59672.jpg;Women-Lehenga Choli
43646;19169;Men;Apparel;Topwear;Tshirts;Blue;Summer;2011.0;Casual;United Colors of Benetton Men Printed Blue TShirt;19169.jpg;Men-Tshirts
43708;25767;Men;Apparel;Topwear;Suspenders;Black;Summer;2012.0;Formal;Lino Perros Men Black Suspenders;25767.jpg;Men-Suspenders
43836;35198;Unisex;Accessories;Bags;Backpacks;Blue;Spring;2013.0;Casual;Wildcraft Unisex Blue & Black Backpack;35198.jpg;Unisex-Backpacks
44213;51278;Girls;Accessories;Eyewear;Sunglasses;Pink;Fall;2012.0;Casual;Hop Scotch Girls Pink Sunglasses;51278.jpg;Girls-Sunglasses
